English ,Hebrew
movie,סרט
forums,פורומים
april,אַפּרִיל
la,לָה
october,אוֹקְטוֹבֶּר
better,טוב יותר
say,אמר
questions,שאלות
august,אוגוסט
yahoo,יאהו
going,הולך
medical,רְפוּאִי
test,מִבְחָן
friend,חבר
come,לבוא
jan,ינואר
server,שרת
pc,PC
study,לימוד
application,יישום
cart,עֲגָלָה
staff,צוות
articles,מאמרים
san,סן
feedback,מָשׁוֹב
again,שוב
play,לְשַׂחֵק
looking,מסתכל
issues,נושאים
may,מאי
never,לעולם לא
users,משתמשים
complete,לְהַשְׁלִים
street,רְחוֹב
topic,נוֹשֵׂא
comment,תגובה
financial,כַּספִּי
things,דברים
working,עובד
against,מול
standard,תֶקֶן
tax,מַס
person,אדם
below,לְהַלָן
mobile,נייד
less,פָּחוֹת
got,יש
blog,בלוג
party,מפלגה
payment,תַשְׁלוּם
equipment,צִיוּד
login,התחברות
student,סטוּדֶנט
let,לתת
programs,תוכניות
offers,הצעות
legal,משפטי
above,מֵעַל
recent,לאחרונה
park,פַּארק
stores,חנויות
side,צַד
act,פעולה
problem,בְּעָיָה
red,אָדוֹם
give,לָתֵת
memory,זיכרון
performance,ביצועים
social,חֶברָתִי
q,ש
september,סֶפּטֶמבֶּר
quote,ציטוט
language,שפה
story,כַּתָבָה
sell,מכירה
options,אפשרויות
experience,ניסיון
rates,תעריפים
create,לִיצוֹר
key,מַפְתֵחַ
body,גוּף
young,צָעִיר
america,אמריקה
important,חָשׁוּב
field,שדה
few,מְעַטִים
east,מזרח
paper,עיתון
single,יחיד
ii,II
age,גיל
activities,פעילויות
club,מוֹעֲדוֹן
example,דוגמא
girls,בנות
additional,נוֹסָף
password,סיסמה
z,z
latest,הכי מאוחר
something,משהו
road,כְּבִישׁ
gift,מתנה
question,שְׁאֵלָה
changes,שינויים
night,לַיְלָה
ca,CA.
hard,קָשֶׁה
texas,טקסס
nov,נובמבר
pay,לְשַׁלֵם
four,ארבע
poker,פּוֹקֶר
status,סטָטוּס
browse,לְדַפדֵף
issue,נושא
range,טווח
building,בִּניָן
seller,מוֹכֵר
court,בית משפט
march,מרץ
always,תמיד
result,תוֹצָאָה
audio,שֶׁמַע
light,אוֹר
write,לִכתוֹב
war,מִלחָמָה
dec,דוקטורט
offer,הַצָעָה
blue,כְּחוֹל
groups,קבוצות
al,אל
easy,קַל
given,נָתוּן
files,קבצים
event,מִקרֶה
release,לְשַׁחְרֵר
analysis,אָנָלִיזָה
request,בַּקָשָׁה
fax,פַקס
china,חרסינה
making,הֲכָנָה
picture,תְמוּנָה
needs,צרכי
possible,אפשרי
might,אולי
professional,מקצועי
yet,עדיין
month,חוֹדֶשׁ
major,גדול
star,כוכב
areas,אזורים
future,עתיד
space,מֶרחָב
committee,וַעֲדָה
hand,יד
mon,יום שני
cards,קלפים
problems,בעיות
london,לונדון
washington,וושינגטון
meeting,פְּגִישָׁה
rss,RSS
become,הפכו
interest,ריבית
id,תְעוּדַת זֶהוּת
child,יֶלֶד
keep,לִשְׁמוֹר
enter,להיכנס
california,קליפורניה
porn,פורנו
share,לַחֲלוֹק
similar,דוֹמֶה
garden,גן
schools,בתי ספר
million,מִילִיוֹן
added,נוסף
reference,התייחסות
companies,חברות
listed,רשום
baby,תִינוֹק
learning,לְמִידָה
energy,אֵנֶרְגִיָה
run,לָרוּץ
delivery,מְסִירָה
net,נֶטוֹ
popular,פופולרי
term,טווח
film,סרט צילום
stories,סיפורים
put,לָשִׂים
computers,מחשבים
journal,כתב עת
reports,דיווחים
co,שיתוף
try,לְנַסוֹת
welcome,ברוך הבא
central,מֶרכָּזִי
images,תמונות
president,נָשִׂיא
notice,הודעה
god,אלוהים
original,מְקוֹרִי
head,רֹאשׁ
radio,רָדִיוֹ
until,עד
cell,תָא
color,צֶבַע
self,עצמי
council,מועצה
away,רָחוֹק
includes,כולל
track,מַסלוּל
australia,אוֹסטְרַלִיָה
discussion,דִיוּן
archive,ארכיב
once,פַּעַם
others,אחרים
entertainment,בידור
agreement,הֶסכֵּם
format,פוּרמָט
least,הכי פחות
society,חֶברָה
months,חודשים
log,עֵץ
safety,בְּטִיחוּת
friends,חברים
sure,בטוח
faq,שאלות נפוצות
trade,סַחַר
edition,מַהֲדוּרָה
cars,מכוניות
messages,הודעות
marketing,שיווק
tell,לאמר
further,נוסף
updated,מְעוּדכָּן
association,אִרגוּן
able,יכול
having,יש
provides,מספק
david,דוד
fun,כֵּיף
already,כְּבָר
green,ירוק
studies,לימודים
close,סגור
common,מְשׁוּתָף
drive,נהיגה
specific,ספֵּצִיפִי
several,כַּמָה
gold,זהב
mar,לְקַלְקֵל
living,חַי
oct,אוקטובר
collection,אוסף
called,שקוראים לו
short,קצר
arts,אומנויות
lot,מִגרָשׁ
ask,לִשְׁאוֹל
display,לְהַצִיג
limited,מוגבל
powered,מְמוּנָע
solutions,פתרונות
means,אומר
director,מְנַהֵל
daily,יום יומי
beach,החוף
past,עבר
natural,טִבעִי
whether,האם
due,נודע
et,ET
electronics,מכשירי חשמל
five,חָמֵשׁ
upon,עַל
period,פרק זמן
planning,תִכנוּן
database,מאגר מידע
says,אומר
official,רשמי
weather,מזג אוויר
apr,אפריל
land,ארץ
average,מְמוּצָע
done,בוצע
technical,טֶכנִי
window,חַלוֹן
france,צָרְפַת
pro,מִקצוֹעָן
region,אזור
island,אִי
record,תקליט
direct,ישיר
microsoft,מיקרוסופט
conference,וְעִידָה
environment,סביבה
records,רשומות
st,רחוב
district,מָחוֹז
calendar,לוּחַ שָׁנָה
costs,עלויות
style,סִגְנוֹן
url,כתובת אתר
front,חֲזִית
statement,הַצהָרָה
update,עדכון
parts,חלקים
sep,ספטמבר
ever,אֵיִ פַּעַם
downloads,הורדות
early,מוקדם
miles,מיילס
sound,נשמע
resource,מַשׁאָב
present,מתנה
applications,יישומים
either,אוֹ
ago,לִפנֵי
document,מסמך
word,מִלָה
works,עובד
material,חוֹמֶר
bill,שטר כסף
may,מאי
written,כתוב
talk,דבר
federal,פדרלי
hosting,אירוח
rules,כללים
final,סופי
adult,מְבוּגָר
tickets,כרטיסים
thing,דָבָר
centre,מֶרְכָּז
requirements,דרישות
via,באמצעות
cheap,זוֹל
nude,עָרוֹם
kids,ילדים
finance,לְמַמֵן
TRUE,נָכוֹן
minutes,דקות
else,אַחֵר
mark,סימן
third,שְׁלִישִׁי
rock,סלע
gifts,מתנות
europe,אֵירוֹפָּה
reading,קריאה
topics,נושאים
bad,רַע
individual,אִישִׁי
tips,טיפים
plus,ועוד
auto,אוטומטי
cover,כיסוי
usually,בְּדֶרֶך כְּלַל
edit,לַעֲרוֹך
together,יַחַד
videos,סרטונים
percent,אָחוּז
fast,מָהִיר
function,פוּנקצִיָה
fact,עוּבדָה
unit,יחידה
getting,להגיע
global,גלוֹבָּלִי
tech,טק
meet,לִפְגוֹשׁ
far,רָחוֹק
economic,כַּלְכָּלִי
en,EN
player,שחקן
projects,פרויקטים
lyrics,מילים
often,לעתים קרובות
subscribe,הירשם
submit,שלח
germany,גֶרמָנִיָה
amount,כמות
watch,שעון
included,כלול
feel,להרגיש
though,עם זאת
bank,בַּנק
risk,לְהִסְתָכֵּן
thanks,תודה
everything,הכל
deals,מבצעים
various,שׁוֹנִים
words,מילים
linux,לינוקס
aug,אוגוסט
production,הפקה
commercial,מִסְחָרִי
james,ג'יימס
weight,מִשׁקָל
town,העיר
heart,לֵב
advertising,פִּרסוּם
received,קיבלו
choose,בחר
treatment,יַחַס
newsletter,עלון
archives,אַרְכִיוֹן
points,נקודות
knowledge,יֶדַע
magazine,מגזין
error,שְׁגִיאָה
camera,מַצלֵמָה
jul,יולי
girl,ילדה
currently,כַּיוֹם
construction,בְּנִיָה
toys,צעצועים
registered,רשום
clear,ברור
golf,גוֹלף
receive,לְקַבֵּל
domain,תְחוּם
methods,שיטות
chapter,פֶּרֶק
makes,עושה
protection,הֲגָנָה
policies,מדיניות
loan,לְהַלווֹת
wide,רָחָב
beauty,יוֹפִי
manager,מנהל
india,הוֹדוּ
position,עמדה
taken,נלקח
sort,סוג
listings,רשימות
models,דגמים
michael,מיכאל
known,ידוע
half,חֲצִי
cases,מקרים
step,שלב
engineering,הַנדָסָה
florida,פלורידה
simple,פָּשׁוּט
quick,מָהִיר
none,אף אחד
wireless,אַלחוּט
license,רישיון
paul,פול
saturday,יום שבת
lake,אֲגַם
whole,כֹּל
annual,שנתי
published,יצא לאור
later,יותר מאוחר
basic,בסיסי
sony,סוני
shows,מופעים
corporate,תאגידי
google,גוגל
church,כְּנֵסִיָה
method,שיטה
purchase,לִרְכּוֹשׁ
customers,לקוחות
active,פָּעִיל
response,תְגוּבָה
practice,תרגול
hardware,חוּמרָה
figure,דמות
materials,חומרים
fire,אֵשׁ
holiday,חַג
chat,לְשׂוֹחֵחַ
enough,מספיק
designed,מְעוּצָב
along,לְאוֹרֶך
among,בין
death,מוות
writing,כְּתִיבָה
speed,מְהִירוּת
html,html
countries,מדינות
loss,הֶפסֵד
face,פָּנִים
brand,מותג
discount,הנחה
higher,גבוה יותר
effects,השפעות
created,נוצר
remember,זכור
standards,תקנים
oil,שמן
bit,קצת
yellow,צהוב
political,פּוֹלִיטִי
increase,להגביר
advertise,לְפַרְסֵם
kingdom,מַלְכוּת
base,בסיס
near,ליד
environmental,סְבִיבָתִי
thought,מַחֲשָׁבָה
stuff,דברים
french,צָרְפָתִית
storage,אִחסוּן
oh,אה
japan,יפן
doing,מַעֲשֶׂה
loans,הלוואות
shoes,נעליים
entry,כְּנִיסָה
stay,שָׁהוּת
nature,טֶבַע
orders,הזמנות
availability,זמינות
africa,אַפְרִיקָה
summary,סיכום
turn,לפנות
mean,מתכוון
growth,צְמִיחָה
notes,הערות
agency,סוֹכְנוּת
king,מלך
tuesday,יוֹם שְׁלִישִׁי
european,אֵירוֹפִּי
activity,פעילות
copy,עותק
although,למרות ש
drug,תְרוּפָה
pics,תמונות
western,מערבי
income,הַכנָסָה
force,כּוֹחַ
cash,כסף מזומן
employment,תעסוקה
overall,באופן כללי
bay,מִפרָץ
river,נהר
commission,עמלה
ad,מוֹדָעָה
package,חֲבִילָה
contents,תוכן
seen,נראה
players,שחקנים
engine,מנוע
port,נמל
album,אַלבּוֹם
regional,אֵזוֹרִי
stop,תפסיק
supplies,אספקה
started,התחיל
administration,מִנהָל
bar,בַּר
institute,מכון
views,נופים
plans,תוכניות
double,לְהַכפִּיל
dog,כֶּלֶב
build,לִבנוֹת
screen,מָסָך
exchange,לְהַחלִיף
types,סוגים
soon,בקרוב
sponsored,בחסות
lines,שורות
electronic,אֶלֶקטרוֹנִי
continue,לְהַמשִׁיך
across,ברחבי
benefits,יתרונות
needed,נָחוּץ
season,עונה
apply,להגיש מועמדות
someone,מִישֶׁהוּ
held,מוּחזָק
ny,ניו יורק
anything,כל דבר
printer,מדפסת
condition,מַצָב
effective,יָעִיל
believe,לְהֶאֱמִין
organization,אִרגוּן
effect,השפעה
asked,נשאל
eur,יורו
mind,אכפת
English ,Hebrew
the,ה
of,שֶׁל
and,וכן
to,ל
a,א
in,ב
for,ל
is,הוא
on,עַל
that,זֶה
by,על ידי
this,זֶה
with,עם
i,אני
you,אתה
it,זה
not,לֹא
or,אוֹ
be,לִהיוֹת
are,הם
from,מ
at,בְּ-
as,כפי ש
your,שֶׁלְךָ
all,את כל
have,יש
new,חָדָשׁ
more,יותר
an,AN
was,היה
we,אָנוּ
will,רָצוֹן
home,בית
can,פחית
us,לָנוּ
about,על אודות
if,אם
page,עמוד
my,שֶׁלִי
has,יש ל
search,לחפש
free,חינם
but,אבל
our,שֶׁלָנוּ
one,אחד
other,אַחֵר
do,לַעֲשׂוֹת
no,לא
information,מֵידָע
time,זְמַן
they,הֵם
site,אֲתַר
he,הוא
up,לְמַעלָה
july,יולי
what,מה
which,איזה
their,שֶׁלָהֶם
news,חֲדָשׁוֹת
out,הַחוּצָה
use,להשתמש
any,כל
there,שם
see,לִרְאוֹת
only,רק
so,כך
his,שֶׁלוֹ
when,מתי
contact,איש קשר
here,כאן
business,עֵסֶק
who,WHO
web,אינטרנט
also,גַם
now,עַכשָׁיו
help,עֶזרָה
get,לקבל
pm,אחר הצהריים
view,נוף
online,באינטרנט
c,ג
e,ה
first,ראשון
am,אני
been,להיות
would,היה
how,אֵיך
were,היו
me,לִי
s,ג
services,שירותים
some,כמה
these,אלה
click,נְקִישָׁה
its,שֶׁלָה
like,כמו
service,שֵׁרוּת
x,איקס
than,מאשר
find,למצוא
price,מחיר
date,תַאֲרִיך
back,חזור
top,חלק עליון
people,אֲנָשִׁים
had,היה
list,רשימה
name,שֵׁם
just,רַק
over,על
state,מדינה
year,שָׁנָה
day,יְוֹם
into,לְתוֹך
email,אימייל
two,שתיים
health,בְּרִיאוּת
n,נ
world,עוֹלָם
re,מִחָדָשׁ
next,הַבָּא
used,בשימוש
go,ללכת
b,ב
work,עֲבוֹדָה
last,אחרון
most,רוב
products,מוצרים
music,מוּסִיקָה
buy,לִקְנוֹת
data,נתונים
make,עשה
them,אוֹתָם
should,צריך
product,מוצר
system,מערכת
post,הודעה
her,שֶׁלָה
city,עִיר
t,t
add,לְהוֹסִיף
policy,מְדִינִיוּת
number,מספר
such,כגון
please,אנא
available,זמין
copyright,זכויות יוצרים
support,תמיכה
message,הוֹדָעָה
after,לאחר
best,הטוב ביותר
software,תוֹכנָה
then,לאחר מכן
mar,לְקַלְקֵל
good,טוֹב
video,וִידֵאוֹ
well,נו
d,ד
where,איפה
info,מידע
rights,זכויות
public,פּוּמְבֵּי
books,ספרים
high,גָבוֹהַ
school,בית ספר
through,דרך
m,M
each,כל אחד
links,קישורים
she,היא
review,סקירה
years,שנים
order,להזמין
very,מאוד
privacy,פְּרָטִיוּת
book,סֵפֶר
items,פריטים
company,חֶברָה
r,ר '
read,לקרוא
group,קְבוּצָה
sex,מִין
need,צוֹרֶך
many,רב
user,מִשׁתַמֵשׁ
said,אמר
de,דה
does,כן
set,מַעֲרֶכֶת
under,תַחַת
general,כללי
research,מחקר
university,אוּנִיבֶרְסִיטָה
march,מרץ
mail,דוֹאַר
full,מלא
map,מַפָּה
reviews,ביקורות
program,תכנית
life,חַיִים
know,לָדַעַת
games,משחקים
way,דֶרֶך
days,ימים
management,הַנהָלָה
p,עמ '
part,חֵלֶק
could,הָיָה יָכוֹל
great,גדול
united,מאוחד
hotel,מלון
real,אמיתי
f,ג
item,פריט
international,בינלאומי
center,מֶרְכָּז
ebay,eBay
must,צריך
store,חנות
travel,לִנְסוֹעַ
comments,הערות
made,עָשׂוּי
development,התפתחות
report,להגיש תלונה
off,כבוי
member,חבר
details,פרטים
line,קַו
terms,מונחים
before,לפני
hotels,בתי מלון
did,כן
send,לִשְׁלוֹחַ
right,ימין
type,סוּג
because,כי
local,מְקוֹמִי
those,הָהֵן
using,באמצעות
results,תוצאות
office,מִשׂרָד
education,חינוך
national,לאומי
car,אוטו
design,לְעַצֵב
take,לקחת
posted,פורסם
internet,מרשתת
address,כתובת
community,קהילה
within,בְּתוֹך
states,מדינות
area,אֵזוֹר
want,רוצה
phone,טלפון
dvd,DVD
shipping,משלוח
reserved,שמורות
subject,נושא
between,בֵּין
forum,פוֹרוּם
family,מִשׁפָּחָה
l,L.
long,ארוך
based,מבוסס
w,w
code,קוד
show,הופעה
o,O.
even,אֲפִילוּ
black,שָׁחוֹר
check,חשבון
special,מיוחד
prices,מחירים
website,אתר אינטרנט
index,אינדקס
being,להיות
women,נשים
much,הַרבֵּה
sign,סִימָן
file,קוֹבֶץ
link,קישור
open,לִפְתוֹחַ
today,היום
technology,טֶכנוֹלוֹגִיָה
south,דָרוֹם
case,מקרה
project,פּרוֹיֶקט
same,אותו
pages,עמודים
uk,בְּרִיטַנִיָה
version,גִרְסָה
section,סָעִיף
own,שֶׁלוֹ
found,מצאתי
sports,ספורט
house,בַּיִת
related,קָשׁוּר
security,בִּטָחוֹן
both,שניהם
g,ז
county,מָחוֹז
american,אֲמֶרִיקָאִי
photo,תמונה
game,מִשְׂחָק
members,חברים
power,כּוֹחַ
while,בזמן
care,לְטַפֵּל
network,רֶשֶׁת
down,מטה
computer,מַחשֵׁב
systems,מערכות
three,שְׁלוֹשָׁה
total,"סה""כ"
place,מקום
end,סוֹף
following,הבא
download,הורד
h,ח
him,אוֹתוֹ
without,לְלֹא
per,לְכָל
access,גִישָׁה
think,לַחשׁוֹב
north,צָפוֹן
resources,אֶמְצָעִי
current,נוֹכְחִי
posts,פוסטים
big,גָדוֹל
media,כְּלֵי תִקְשׁוֹרֶת
law,חוֹק
control,לִשְׁלוֹט
water,מים
history,הִיסטוֹרִיָה
pictures,תמונות
size,גודל
art,אומנות
personal,אישי
since,מאז
including,לְרַבּוֹת
guide,להנחות
shop,לִקְנוֹת
directory,מַדרִיך
board,גלשן
location,מקום
change,שינוי
white,לבן
text,טֶקסט
